benchmark_sequence,original_sequence,filename,scenario_kind,expected_valid_payloads,expected_false_payloads,actual_raw_detected_payloads,actual_accepted_payloads,actual_rejected_payloads,expected_position,actual_position,expected_items,actual_items,detection_result,domain_result,expected_domain_outcome,pipeline_error,scanner_processing_ms,detection_detail,domain_detail
1,81,081_item.jpg,item,ASI-HBTRQJ|4,,ASI-HBTRQJ|4,ASI-HBTRQJ|4,,,,ASI-HBTRQJ|4,ASI-HBTRQJ|4,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,262,,
2,241,241_multi_mixed.jpg,multi_mixed,ASI-F5GZJD|72,X0001,ASI-F5GZJD|72|X0001,ASI-F5GZJD|72,,,,ASI-F5GZJD|72,ASI-F5GZJD|72,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,MIXED_KEEP_VALID_REJECT_FALSE,,328,,
3,1,001_position.jpg,position,ASP-A01-B01-P01-L,,ASP-A01-B01-P01-L,ASP-A01-B01-P01-L,,ASP-A01-B01-P01-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,244,,
4,82,082_item.jpg,item,ASI-F5CBFP|10,,ASI-F5CBFP|10,ASI-F5CBFP|10,,,,ASI-F5CBFP|10,ASI-F5CBFP|10,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,219,,
5,271,271_multi_false.jpg,multi_false,,POSX0031|FAKE0032,POSX0031|FAKE0032,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,766,,
6,2,002_position.jpg,position,ASP-A01-B01-P01-R,,ASP-A01-B01-P01-R,ASP-A01-B01-P01-R,,ASP-A01-B01-P01-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,376,,
7,83,083_item.jpg,item,ASI-BN4Q6T|1,,ASI-BN4Q6T|1,ASI-BN4Q6T|1,,,,ASI-BN4Q6T|1,ASI-BN4Q6T|1,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,263,,
8,84,084_item.jpg,item,ASI-L5XTKP|18,,ASI-L5XTKP|18,ASI-L5XTKP|18,,,,ASI-L5XTKP|18,ASI-L5XTKP|18,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,271,,
9,211,211_multi_true.jpg,multi_true,ASP-A03-B04-P02-L|ASI-7SA7UL|3,,ASP-A03-B04-P02-L|ASI-7SA7UL|3,ASI-7SA7UL|3,,ASP-A03-B04-P02-L,,ASI-7SA7UL|3,ASI-7SA7UL|3,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,379,,status=RESOLVED;error=null
10,3,003_position.jpg,position,ASP-A01-B01-P02-L,,ASP-A01-B01-P02-L,ASP-A01-B01-P02-L,,ASP-A01-B01-P02-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,403,,
11,85,085_item.jpg,item,ASI-GF2GYY|96,,ASI-GF2GYY|96,ASI-GF2GYY|96,,,,ASI-GF2GYY|96,ASI-GF2GYY|96,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,268,,
12,242,242_multi_mixed.jpg,multi_mixed,ASP-A05-B01-P03-R,BAD0002,ASP-A05-B01-P03-R|BAD0002,,,ASP-A05-B01-P03-R,,,,DETECTION_EXACT_MATCH,FALSE_NEGATIVE,MIXED_KEEP_VALID_REJECT_FALSE,,364,,missing=1
13,86,086_item.jpg,item,ASI-SC7H2F|60,,ASI-SC7H2F|60,ASI-SC7H2F|60,,,,ASI-SC7H2F|60,ASI-SC7H2F|60,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,249,,
14,4,004_position.jpg,position,ASP-A01-B01-P02-R,,ASP-A01-B01-P02-R,ASP-A01-B01-P02-R,,ASP-A01-B01-P02-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,362,,
15,87,087_item.jpg,item,ASI-UZNECQ|15,,ASI-UZNECQ|15,ASI-UZNECQ|15,,,,ASI-UZNECQ|15,ASI-UZNECQ|15,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,283,,
16,272,272_multi_false.jpg,multi_false,,X0033|BAD0034,X0033|BAD0034,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,717,,
17,5,005_position.jpg,position,ASP-A01-B01-P03-L,,ASP-A01-B01-P03-L,ASP-A01-B01-P03-L,,ASP-A01-B01-P03-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,306,,
18,88,088_item.jpg,item,ASI-FQG2T7|20,,ASI-FQG2T7|20,ASI-FQG2T7|20,,,,ASI-FQG2T7|20,ASI-FQG2T7|20,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,269,,
19,212,212_multi_true.jpg,multi_true,ASP-A03-B04-P02-R|ASI-6YV5S7|15,,ASP-A03-B04-P02-R|ASI-6YV5S7|15,ASI-6YV5S7|15,,ASP-A03-B04-P02-R,,ASI-6YV5S7|15,ASI-6YV5S7|15,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,364,,status=RESOLVED;error=null
20,89,089_item.jpg,item,ASI-LZYPTE|96,,ASI-LZYPTE|96,ASI-LZYPTE|96,,,,ASI-LZYPTE|96,ASI-LZYPTE|96,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,278,,
21,6,006_position.jpg,position,ASP-A01-B01-P03-R,,ASP-A01-B01-P03-R,ASP-A01-B01-P03-R,,ASP-A01-B01-P03-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,366,,
22,90,090_item.jpg,item,ASI-LRL72T|60,,ASI-LRL72T|60,ASI-LRL72T|60,,,,ASI-LRL72T|60,ASI-LRL72T|60,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,247,,
23,243,243_multi_mixed.jpg,multi_mixed,ASI-XH4Y5D|15,POSX0003,ASI-XH4Y5D|15|POSX0003,ASI-XH4Y5D|15,,,,ASI-XH4Y5D|15,ASI-XH4Y5D|15,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,MIXED_KEEP_VALID_REJECT_FALSE,,324,,
24,7,007_position.jpg,position,ASP-A01-B02-P01-L,,ASP-A01-B02-P01-L,ASP-A01-B02-P01-L,,ASP-A01-B02-P01-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,239,,
