benchmark_sequence,original_sequence,filename,scenario_kind,expected_valid_payloads,expected_false_payloads,actual_raw_detected_payloads,actual_accepted_payloads,actual_rejected_payloads,expected_position,actual_position,expected_items,actual_items,detection_result,domain_result,expected_domain_outcome,pipeline_error,scanner_processing_ms,detection_detail,domain_detail
1,81,081_item.jpg,item,ASI-HBTRQJ|4,,ASI-HBTRQJ|4,ASI-HBTRQJ|4,,,,ASI-HBTRQJ|4,ASI-HBTRQJ|4,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,243,,
2,241,241_multi_mixed.jpg,multi_mixed,ASI-F5GZJD|72,X0001,ASI-F5GZJD|72|X0001,ASI-F5GZJD|72,,,,ASI-F5GZJD|72,ASI-F5GZJD|72,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,MIXED_KEEP_VALID_REJECT_FALSE,,326,,
3,1,001_position.jpg,position,ASP-A01-B01-P01-L,,ASP-A01-B01-P01-L,ASP-A01-B01-P01-L,,ASP-A01-B01-P01-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,301,,
4,82,082_item.jpg,item,ASI-F5CBFP|10,,ASI-F5CBFP|10,ASI-F5CBFP|10,,,,ASI-F5CBFP|10,ASI-F5CBFP|10,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,270,,
5,271,271_multi_false.jpg,multi_false,,POSX0031|FAKE0032,POSX0031|FAKE0032,,,,,,,DETECTION_EXACT_MATCH,CORRECT_REJECTION,CORRECT_REJECTION,,337,,
6,2,002_position.jpg,position,ASP-A01-B01-P01-R,,ASP-A01-B01-P01-R,ASP-A01-B01-P01-R,,ASP-A01-B01-P01-R,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,468,,
7,83,083_item.jpg,item,ASI-BN4Q6T|1,,ASI-BN4Q6T|1,ASI-BN4Q6T|1,,,,ASI-BN4Q6T|1,ASI-BN4Q6T|1,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,249,,
8,84,084_item.jpg,item,ASI-L5XTKP|18,,ASI-L5XTKP|18,ASI-L5XTKP|18,,,,ASI-L5XTKP|18,ASI-L5XTKP|18,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,ITEM_APPLIED,,303,,
9,211,211_multi_true.jpg,multi_true,ASP-A03-B04-P02-L|ASI-7SA7UL|3,,ASP-A03-B04-P02-L|ASI-7SA7UL|3,ASI-7SA7UL|3,,ASP-A03-B04-P02-L,,ASI-7SA7UL|3,ASI-7SA7UL|3,DETECTION_EXACT_MATCH,AMBIGUOUS_INCORRECT,AMBIGUOUS,,350,,status=RESOLVED;error=null
10,3,003_position.jpg,position,ASP-A01-B01-P02-L,,ASP-A01-B01-P02-L,ASP-A01-B01-P02-L,,ASP-A01-B01-P02-L,,,,DETECTION_EXACT_MATCH,DOMAIN_EXACT_MATCH,POSITION_APPLIED,,389,,
